Ip1, Ip2, Ip3, Ip4, Phone, SurvivalTime, AverageAnswerTime, Outcome
211,141,217,150,17061,1,1.8,1
123,145,54,61,16533,24,1.6,1
175,152,197,84,17065,1,2,1
211,141,217,150,16532,1,1.9,1
123,187,98,136,16533,1,2.2,1
175,152,197,84,16532,22,1.9,1
123,145,54,61,16533,38,1.9,1
123,145,54,61,17107,39,1.9,1
180,124,113,90,18411,22,2.1,1
211,141,217,150,16532,22,2,1
183,92,239,31,16798,44,2.2,1
123,145,54,61,17113,38,1.9,1
111,124,183,20,16532,25,2.1,1
123,187,98,136,16533,40,1.8,1
220,173,251,98,16532,1,2,1
211,141,217,150,17017,42,1.6,1
220,189,88,99,17016,1,1.7,1
123,145,54,61,16532,40,2,1
211,141,217,150,17056,42,1.6,1
182,140,81,40,16722,1,1.8,1
211,141,217,150,16533,22,1.8,1
180,124,113,90,16521,1,2.2,1
183,92,239,31,17064,49,2.7,1
220,173,251,98,16535,20,2,1
1,25,60,52,17100,1,1.7,1
211,141,217,150,16532,20,1.8,1
183,219,4,50,17054,1,2,1
183,219,4,50,17064,2,1.7,1
220,189,88,99,15874,1,2,1
123,145,54,61,16520,44,2.2,1
220,189,88,99,16253,20,1.8,1
183,219,4,50,17054,1,1.8,1
114,223,209,174,16762,1,1.8,1
220,189,88,99,16532,1,2,1
183,92,239,31,17064,2,2.7,1
220,173,251,98,17056,37,1.9,1
220,189,88,99,16229,20,1.8,1
211,141,217,150,17064,37,1.9,1
123,187,98,136,17030,1,1.8,1
114,223,209,174,17064,21,1.8,1
211,141,217,150,15874,42,2,1
114,223,209,174,16532,22,1.7,1
111,124,183,20,16533,1,2.1,1
111,124,183,20,16533,1,2,1
111,124,183,20,16533,1,1.9,1
1,25,60,52,17064,22,2,1
120,199,163,111,16532,1,1.9,1
183,219,4,50,16532,23,2.1,1
183,92,239,31,16253,30,2.4,1
112,32,10,8,16722,1,1.9,1
183,219,4,50,17102,22,2,1
111,124,183,20,16533,2,2,1
111,124,183,20,16533,1,1.9,1
112,32,10,8,16762,1,1.9,1
123,145,54,61,16533,1,1.9,1
223,94,70,150,16752,1,2,1
183,219,4,50,16750,1,1.8,1
183,219,4,50,16533,1,1.9,1
123,187,98,136,17113,20,1.8,1
111,124,183,20,16533,22,2.1,1
111,124,183,20,16533,23,2,1
183,92,239,31,17054,63,2.4,1
114,223,209,174,16264,43,1.6,1
111,124,183,20,16532,20,1.9,1
123,187,98,136,16533,39,2.1,1
183,219,4,50,17012,39,1.9,1
112,32,10,8,16533,21,2.1,1
220,189,88,99,17064,42,1.9,1
183,219,4,50,16532,19,2.1,1
112,32,10,8,16574,20,1.9,1
183,92,239,31,16532,54,2.4,1
111,124,183,20,16533,21,1.7,1
182,140,81,40,18411,1,1.9,1
120,239,198,45,16532,41,2,1
115,201,199,247,17100,2,1.9,1
183,219,4,50,16532,20,2.2,1
111,124,183,20,16533,42,1.8,1
111,124,183,20,16532,42,2.1,1
223,94,70,150,16532,1,2.1,1
183,219,4,50,16750,1,1.8,1
111,124,183,20,17030,40,2,1
223,94,70,150,16533,1,1.9,1
182,140,81,40,16532,21,2,1
183,92,239,31,16722,2,2,1
182,140,81,40,16753,22,1.8,1
112,32,10,8,17012,40,1.7,1
